modelo,r2_medio,r2_desv,parametros
XGBoost,0.7815,0.0008,"{""colsample_bytree"": 0.96501, ""learning_rate"": 0.01271, ""max_depth"": 4, ""min_child_weight"": 15, ""n_estimators"": 1053, ""reg_alpha"": 0.02121, ""reg_lambda"": 0.38445, ""subsample"": 0.71812}"
XGBoost,0.754,0.0005,"{""colsample_bytree"": 0.66128, ""learning_rate"": 0.1793, ""max_depth"": 11, ""min_child_weight"": 11, ""n_estimators"": 445, ""reg_alpha"": 0.02137, ""reg_lambda"": 0.47377, ""subsample"": 0.92374}"
XGBoost,0.7502,0.0027,"{""colsample_bytree"": 0.90506, ""learning_rate"": 0.19088, ""max_depth"": 9, ""min_child_weight"": 4, ""n_estimators"": 884, ""reg_alpha"": 0.00523, ""reg_lambda"": 0.14563, ""subsample"": 0.75871}"
XGBoost,0.77,0.0018,"{""colsample_bytree"": 0.52538, ""learning_rate"": 0.20401, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 999, ""reg_alpha"": 0.13773, ""reg_lambda"": 0.12098, ""subsample"": 0.78624}"
XGBoost,0.7851,0.0019,"{""colsample_bytree"": 0.77132, ""learning_rate"": 0.0265, ""max_depth"": 8, ""min_child_weight"": 17, ""n_estimators"": 891, ""reg_alpha"": 0.00139, ""reg_lambda"": 0.49868, ""subsample"": 0.81483}"
LightGBM,0.7523,0.0021,"{""colsample_bytree"": 0.68727, ""learning_rate"": 0.2537, ""min_child_samples"": 76, ""n_estimators"": 900, ""num_leaves"": 36, ""reg_lambda"": 0.22856, ""subsample"": 0.6624}"
LightGBM,0.7609,0.0014,"{""colsample_bytree"": 0.52904, ""learning_rate"": 0.1903, ""min_child_samples"": 28, ""n_estimators"": 330, ""num_leaves"": 165, ""reg_lambda"": 0.13484, ""subsample"": 0.8888}"
LightGBM,0.7804,0.0009,"{""colsample_bytree"": 0.96928, ""learning_rate"": 0.01003, ""min_child_samples"": 64, ""n_estimators"": 476, ""num_leaves"": 176, ""reg_lambda"": 0.50127, ""subsample"": 0.8099}"
LightGBM,0.7815,0.0025,"{""colsample_bytree"": 0.71597, ""learning_rate"": 0.02693, ""min_child_samples"": 63, ""n_estimators"": 710, ""num_leaves"": 185, ""reg_lambda"": 0.12805, ""subsample"": 0.9895}"
LightGBM,0.7861,0.0018,"{""colsample_bytree"": 0.61639, ""learning_rate"": 0.01361, ""min_child_samples"": 66, ""n_estimators"": 762, ""num_leaves"": 123, ""reg_lambda"": 1.525, ""subsample"": 0.83697}"
LightGBM,0.7722,0.0013,"{""colsample_bytree"": 0.52323, ""learning_rate"": 0.07896, ""min_child_samples"": 25, ""n_estimators"": 1040, ""num_leaves"": 182, ""reg_lambda"": 0.10728, ""subsample"": 0.97688}"
LightGBM,0.7799,0.0018,"{""colsample_bytree"": 0.78164, ""learning_rate"": 0.03709, ""min_child_samples"": 94, ""n_estimators"": 764, ""num_leaves"": 145, ""reg_lambda"": 3.75354, ""subsample"": 0.77606}"
LightGBM,0.7824,0.0018,"{""colsample_bytree"": 0.56102, ""learning_rate"": 0.05388, ""min_child_samples"": 51, ""n_estimators"": 234, ""num_leaves"": 221, ""reg_lambda"": 0.79404, ""subsample"": 0.67289}"
LightGBM,0.783,0.001,"{""colsample_bytree"": 0.87768, ""learning_rate"": 0.04246, ""min_child_samples"": 58, ""n_estimators"": 305, ""num_leaves"": 19, ""reg_lambda"": 0.26629, ""subsample"": 0.98783}"
LightGBM,0.7535,0.0039,"{""colsample_bytree"": 0.88757, ""learning_rate"": 0.2442, ""min_child_samples"": 66, ""n_estimators"": 1195, ""num_leaves"": 29, ""reg_lambda"": 4.71492, ""subsample"": 0.73062}"
LightGBM,0.7753,0.0023,"{""colsample_bytree"": 0.78522, ""learning_rate"": 0.05879, ""min_child_samples"": 66, ""n_estimators"": 495, ""num_leaves"": 228, ""reg_lambda"": 0.78408, ""subsample"": 0.70854}"
LightGBM,0.7782,0.002,"{""colsample_bytree"": 0.91437, ""learning_rate"": 0.03365, ""min_child_samples"": 64, ""n_estimators"": 579, ""num_leaves"": 252, ""reg_lambda"": 0.21099, ""subsample"": 0.92088}"
LightGBM,0.7455,0.0024,"{""colsample_bytree"": 0.53728, ""learning_rate"": 0.28691, ""min_child_samples"": 92, ""n_estimators"": 328, ""num_leaves"": 251, ""reg_lambda"": 0.47351, ""subsample"": 0.60563}"
LightGBM,0.7701,0.0034,"{""colsample_bytree"": 0.59942, ""learning_rate"": 0.11239, ""min_child_samples"": 39, ""n_estimators"": 488, ""num_leaves"": 138, ""reg_lambda"": 0.14804, ""subsample"": 0.74339}"
LightGBM,0.7517,0.0024,"{""colsample_bytree"": 0.55793, ""learning_rate"": 0.18833, ""min_child_samples"": 76, ""n_estimators"": 979, ""num_leaves"": 177, ""reg_lambda"": 0.16578, ""subsample"": 0.74833}"
LightGBM,0.7651,0.003,"{""colsample_bytree"": 0.83442, ""learning_rate"": 0.0963, ""min_child_samples"": 48, ""n_estimators"": 1071, ""num_leaves"": 229, ""reg_lambda"": 11.0028, ""subsample"": 0.78889}"
LightGBM,0.774,0.0018,"{""colsample_bytree"": 0.5598, ""learning_rate"": 0.11312, ""min_child_samples"": 5, ""n_estimators"": 204, ""num_leaves"": 233, ""reg_lambda"": 0.34915, ""subsample"": 0.70243}"
LightGBM,0.7652,0.0023,"{""colsample_bytree"": 0.52022, ""learning_rate"": 0.11213, ""min_child_samples"": 94, ""n_estimators"": 753, ""num_leaves"": 139, ""reg_lambda"": 0.17712, ""subsample"": 0.61257}"
LightGBM,0.7796,0.0028,"{""colsample_bytree"": 0.81821, ""learning_rate"": 0.02913, ""min_child_samples"": 8, ""n_estimators"": 933, ""num_leaves"": 244, ""reg_lambda"": 0.37465, ""subsample"": 0.76415}"
LightGBM,0.7799,0.0024,"{""colsample_bytree"": 0.87778, ""learning_rate"": 0.02178, ""min_child_samples"": 36, ""n_estimators"": 1038, ""num_leaves"": 202, ""reg_lambda"": 3.96936, ""subsample"": 0.95219}"
LightGBM,0.7844,0.002,"{""colsample_bytree"": 0.81218, ""learning_rate"": 0.02733, ""min_child_samples"": 10, ""n_estimators"": 995, ""num_leaves"": 43, ""reg_lambda"": 0.31815, ""subsample"": 0.7666}"
LightGBM,0.7818,0.0008,"{""colsample_bytree"": 0.94164, ""learning_rate"": 0.03014, ""min_child_samples"": 96, ""n_estimators"": 672, ""num_leaves"": 246, ""reg_lambda"": 12.20786, ""subsample"": 0.70885}"
LightGBM,0.7817,0.0008,"{""colsample_bytree"": 0.82385, ""learning_rate"": 0.01002, ""min_child_samples"": 81, ""n_estimators"": 944, ""num_leaves"": 18, ""reg_lambda"": 0.10375, ""subsample"": 0.8043}"
LightGBM,0.7846,0.0017,"{""colsample_bytree"": 0.70871, ""learning_rate"": 0.02129, ""min_child_samples"": 55, ""n_estimators"": 433, ""num_leaves"": 187, ""reg_lambda"": 0.36454, ""subsample"": 0.66732}"
LightGBM,0.784,0.0018,"{""colsample_bytree"": 0.60938, ""learning_rate"": 0.06674, ""min_child_samples"": 56, ""n_estimators"": 312, ""num_leaves"": 77, ""reg_lambda"": 17.22264, ""subsample"": 0.98498}"
LightGBM,0.7822,0.0017,"{""colsample_bytree"": 0.62589, ""learning_rate"": 0.05426, ""min_child_samples"": 60, ""n_estimators"": 280, ""num_leaves"": 202, ""reg_lambda"": 2.52712, ""subsample"": 0.80107}"
LightGBM,0.7851,0.0014,"{""colsample_bytree"": 0.52574, ""learning_rate"": 0.0258, ""min_child_samples"": 5, ""n_estimators"": 602, ""num_leaves"": 141, ""reg_lambda"": 0.21548, ""subsample"": 0.79578}"
LightGBM,0.7806,0.0013,"{""colsample_bytree"": 0.99283, ""learning_rate"": 0.02278, ""min_child_samples"": 72, ""n_estimators"": 638, ""num_leaves"": 218, ""reg_lambda"": 0.7089, ""subsample"": 0.69686}"
LightGBM,0.7712,0.0019,"{""colsample_bytree"": 0.90157, ""learning_rate"": 0.04951, ""min_child_samples"": 74, ""n_estimators"": 1181, ""num_leaves"": 154, ""reg_lambda"": 7.56196, ""subsample"": 0.91934}"
LightGBM,0.7847,0.0014,"{""colsample_bytree"": 0.57536, ""learning_rate"": 0.05632, ""min_child_samples"": 84, ""n_estimators"": 548, ""num_leaves"": 18, ""reg_lambda"": 2.28909, ""subsample"": 0.87103}"
LightGBM,0.7832,0.0021,"{""colsample_bytree"": 0.50829, ""learning_rate"": 0.05707, ""min_child_samples"": 23, ""n_estimators"": 347, ""num_leaves"": 111, ""reg_lambda"": 0.16646, ""subsample"": 0.97621}"
LightGBM,0.778,0.0024,"{""colsample_bytree"": 0.69879, ""learning_rate"": 0.05818, ""min_child_samples"": 5, ""n_estimators"": 978, ""num_leaves"": 235, ""reg_lambda"": 4.91761, ""subsample"": 0.68363}"
LightGBM,0.7716,0.0025,"{""colsample_bytree"": 0.77072, ""learning_rate"": 0.1066, ""min_child_samples"": 11, ""n_estimators"": 963, ""num_leaves"": 159, ""reg_lambda"": 7.59369, ""subsample"": 0.82208}"
LightGBM,0.7846,0.0016,"{""colsample_bytree"": 0.76483, ""learning_rate"": 0.02276, ""min_child_samples"": 52, ""n_estimators"": 453, ""num_leaves"": 155, ""reg_lambda"": 1.92597, ""subsample"": 0.95305}"
LightGBM,0.7819,0.0021,"{""colsample_bytree"": 0.59435, ""learning_rate"": 0.02582, ""min_child_samples"": 23, ""n_estimators"": 1015, ""num_leaves"": 223, ""reg_lambda"": 11.59518, ""subsample"": 0.95483}"
LightGBM,0.7658,0.0016,"{""colsample_bytree"": 0.88994, ""learning_rate"": 0.08879, ""min_child_samples"": 79, ""n_estimators"": 824, ""num_leaves"": 215, ""reg_lambda"": 6.41346, ""subsample"": 0.8676}"
LightGBM,0.7843,0.0006,"{""colsample_bytree"": 0.79034, ""learning_rate"": 0.03547, ""min_child_samples"": 93, ""n_estimators"": 298, ""num_leaves"": 168, ""reg_lambda"": 0.10272, ""subsample"": 0.66432}"
LightGBM,0.7607,0.0027,"{""colsample_bytree"": 0.77437, ""learning_rate"": 0.1052, ""min_child_samples"": 84, ""n_estimators"": 1156, ""num_leaves"": 184, ""reg_lambda"": 0.25399, ""subsample"": 0.60723}"
