variable,shap_medio_abs,ic_inferior,ic_superior,importancia_impureza
platform__firebase,0.001181398518383503,,,0.0029793553985655308
platform__pip,0.0011699935421347618,,,0.002565933857113123
"RemoteWork_Hybrid (some remote, leans heavy to in-person)",0.0011548164766281843,,,0.0022322810254991055
AIAgents_nan,0.0011468558805063367,,,0.0034964452497661114
language__gdscript,0.001146207912825048,,,0.0025616614148020744
database__duckdb,0.001140369102358818,,,0.0034449417144060135
AIThreat_Yes,0.0010791347594931722,,,0.0025728647597134113
database__influxdb,0.0010789618827402592,,,0.003070664359256625
database__amazon_redshift,0.0010752648813650012,,,0.003206089837476611
OrgSize_500 to 999 employees,0.0010672362986952066,,,0.0020462998654693365
platform__splunk,0.0010650549083948135,,,0.0037604556418955326
database__cloud_firestore,0.0010507346596568823,,,0.0024346839636564255
"AIAgents_No, but I plan to",0.0010352026438340545,,,0.0029392209835350513
language__f#,0.0010134218027815223,,,0.002187686040997505
platform__poetry,0.0009932820685207844,,,0.003659417387098074
Industry_Other:,0.0009619197226129472,,,0.0029772422276437283
language__lua,0.0009490365046076477,,,0.003202153602614999
language__zig,0.000910394184757024,,,0.006164697930216789
platform__ansible,0.0009081469615921378,,,0.0031800365541130304
language__delphi,0.0008912013727240264,,,0.002684574807062745
language__r,0.0008598379790782928,,,0.002261420013383031
database__h2,0.0008546912577003241,,,0.002105320803821087
Industry_Computer Systems Design and Services,0.0008072212222032249,,,0.0021744216792285442
Industry_Media & Advertising Services,0.0008034644997678697,,,0.0028375338297337294
platform__vercel,0.0007985535194166005,,,0.003035228233784437
platform__railway,0.0007916779723018408,,,0.004052665084600449
"AISelect_Yes, I use AI tools monthly or infrequently",0.0007884291699156165,,,0.0020582296419888735
platform__podman,0.0007857521995902061,,,0.00220328732393682
platform__cargo,0.000782980932854116,,,0.0025859179440885782
platform__digital_ocean,0.0007631721091456711,,,0.0018437027465552092
"Industry_Transportation, or Supply Chain",0.0007539739599451423,,,0.002286498202010989
platform__gradle,0.0007488520932383835,,,0.002902991371229291
"AISelect_Yes, I use AI tools weekly",0.0006732342299073935,,,0.0021850652992725372
"RemoteWork_Your choice (very flexible, you can come in when you want or just as needed)",0.000652770628221333,,,0.0014800556236878037
EdLevel_Other (please specify):,0.000645408988930285,,,0.003624418517574668
platform__heroku,0.0006170772248879075,,,0.0027098834980279207
database__cassandra,0.0006154149887152016,,,0.0035345826763659716
database__firebase_realtime_database,0.0006092403782531619,,,0.002690772293135524
AISelect_nan,0.0005348118720576167,,,0.0025833232793956995
OrgSize_I don’t know,0.0004796978028025478,,,0.0030525648035109043
platform__netlify,0.00046417745761573315,,,0.002209422877058387
platform__supabase,0.0004584195266943425,,,0.003726020222529769
ICorPM_No declarado,0.00044745771447196603,,,0.0020054939668625593
language__groovy,0.00042514101369306445,,,0.0025831640232354403
language__vba,0.0004153919289819896,,,0.0032006199471652508
Industry_Energy,0.00041516663623042405,,,0.0015778526430949569
Industry_Healthcare,0.00041438796324655414,,,0.00197511981241405
Industry_Retail and Consumer Services,0.00041418359614908695,,,0.003293268848210573
platform__ninja,0.0004038647166453302,,,0.0029406012035906315
language__elixir,0.0003860796568915248,,,0.002722785109654069
"AISelect_No, but I plan to soon",0.0003759387764148414,,,0.0018864362500607967
language__lisp,0.00036487437319010496,,,0.002120555844157934
language__perl,0.0003571004781406373,,,0.0033759158104658127
platform__otras,0.0003487437788862735,,,0.0025456196162849665
language__otras,0.0002882331027649343,,,0.0024505399633198977
database__otras,0.0002700996701605618,,,0.003355153137817979
database__valkey,0.0002534929080866277,,,0.0031319560948759317
RemoteWork_No declarado,0.0002343945816392079,,,0.0025834236294031143
database__neo4j,0.0002095332311000675,,,0.0020782488863915205
language__erlang,0.00020383337687235326,,,0.0026045157574117184
language__fortran,0.00020115096413064748,,,0.0014654981205239892
AIThreat_infrequent_sklearn,0.00018068398640025407,,,0.0033770562149584293
language__matlab,0.00016604954726062715,,,0.002328127156943083
Industry_infrequent_sklearn,0.00013665940787177533,,,0.0018329560989513993
language__gleam,0.00012772175250574946,,,0.002554982900619507
EdLevel_Primary/elementary school,0.0001236800308106467,,,0.004621980711817741
OrgSize_infrequent_sklearn,9.52061964198947e-05,,,0.0024902070872485638
EdLevel_infrequent_sklearn,7.709782948950306e-05,,,0.0013088899431750178
Industry_Insurance,6.233707972569391e-05,,,0.0020206572953611612
Age_infrequent_sklearn,5.0068090786226094e-05,,,0.0011243236949667335
LearnCodeAI_infrequent_sklearn,9.78417847363744e-06,,,0.0008127877372317016
